"Lean_Pre_training_1"	"Lean_Post_training_1"	"Obese_Pre_training_2"	"Obese_Post_training_2"	"T2D_Pre_training_3"	"T2D_Post_training_3"	"Lean_Pre_training_4"	"Lean_Post_training_4"	"Obese_Pre_training_5"	"Obese_Post_training_5"	"T2D_Pre_training_6"	"T2D_Post_training_6"	"Lean_Pre_training_7"	"Lean_Post_training_7"	"Obese_Pre_training_8"	"Obese_Post_training_8"	"T2D_Pre_training_9"	"T2D_Post_training_9"	"Lean_Pre_training_10"	"Lean_Post_training_10"	"Obese_Pre_training_11"	"Obese_Post_training_11"	"T2D_Post_training_12"	"Lean_Pre_training_13"	"Lean_Post_training_13"	"Obese_Pre_training_14"	"Obese_Post_training_14"	"T2D_Pre_training_15"	"T2D_Post_training_15"	"Lean_Pre_training_16"	"Lean_Post_training_16"	"Obese_Pre_training_17"	"Obese_Post_training_17"	"T2D_Pre_training_18"	"T2D_Post_training_18"	"Lean_Pre_training_19"	"Lean_Post_training_19"	"Obese_Pre_training_20"	"Obese_Post_training_20"	"T2D_Pre_training_21"	"T2D_Post_training_21"	"Lean_Pre_training_22"	"Lean_Post_training_22"	"Obese_Pre_training_23"	"Obese_Post_training_23"	"T2D_Pre_training_24"	"T2D_Post_training_24"	"Lean_Pre_training_25"	"Lean_Post_training_25"	"Obese_Pre_training_26"	"Obese_Post_training_26"	"T2D_Pre_training_27"	"T2D_Post_training_27"	"Lean_Pre_training_28"	"Lean_Post_training_28"	"Obese_Pre_training_29"	"Obese_Post_training_29"	"T2D_Pre_training_30"	"T2D_Post_training_30"	"Lean_Pre_training_31"	"Lean_Post_training_31"	"Obese_Pre_training_32"	"Obese_Post_training_32"	"T2D_Pre_training_33"	"T2D_Post_training_33"	"Lean_Pre_training_34"	"Lean_Post_training_34"	"Obese_Pre_training_35"	"Obese_Post_training_35"	"T2D_Pre_training_36"	"T2D_Post_training_36"	"Lean_Pre_training_37"	"Lean_Post_training_37"	"Obese_Pre_training_38"	"Obese_Post_training_38"	"T2D_Pre_training_39"	"T2D_Post_training_39"	"Lean_Pre_training_40"	"Lean_Post_training_40"	"Obese_Pre_training_41"	"Obese_Post_training_41"	"Lean_Pre_training_42"	"Lean_Post_training_42"	"Obese_Pre_training_43"	"Obese_Post_training_43"	"Lean_Pre_training_44"	"Lean_Post_training_44"	"Lean_Pre_training_45"	"Lean_Pre_training_46"	"T2D_Pre_training_47"	"T2D_Pre_training_48"	"ID"
24.5332199732068	25.1770484904223	25.3370357516818	24.8516617621371	25.2933505479127	24.3793182853247	23.4236752804097	23.0489148213964	23.6950924537779	24.0503770372227	23.6910156856304	24.2542905275817	23.5170217972331	24.4038412891053	23.8640036400303	24.096692484672	24.3642696584199	24.9967880040165	23.721349714605	24.525271156389	24.8058376407845	24.3650342507829	23.5191307709154	23.7283536056261	23.7503721730269	23.3661107344016	23.6556516910197	23.9390617807873	23.9289221801588	24.3642692224165	23.9146537384706	24.4630065090751	24.5091904963436	24.1811122437423	23.29444279889	24.3855317656974	24.0039782904524	22.7505261230129	22.7258241186338	24.4962640606517	23.2474824384638	25.2872994632239	26.4380189025939	23.6831861137009	23.6774975580924	23.1103773912368	24.6903895627722	24.3390216015141	23.9894414084418	23.6168786326003	23.5190109894394	22.998978758723	22.970075921735	24.1203385915327	23.6169608063929	24.0523267305169	24.4817245175652	23.8111643618438	23.7445914749083	23.3625203832379	24.3991366476129	23.3858518288347	23.7390177033295	24.3389840048956	23.3938511445951	24.9334086778602	24.8958464890474	22.6053075385945	24.4244893633343	24.5833661115372	23.8913541218546	23.5540208999744	24.7711250949066	24.1230485149233	23.8703588604994	24.2974098481237	24.5976096865158	25.047537744591	24.1582482025616	24.2336629049735	23.5729037153496	23.4386971258848	24.501250234185	24.0386874995186	24.3817770804779	23.8352863263665	24.2422821139744	24.5519463969659	24.4849901318317	24.5942273422086	24.7075487947773	"IGKV3.7"
22.8397672744976	22.600669360672	22.7808352114232	22.815083641364	22.7738872499209	22.3556201470638	NA	21.5059000292288	22.6535915281736	22.5899831281945	22.3404583179539	22.1050408941464	21.8622215502179	23.0129675352054	22.1922350367507	22.5862005636135	23.0373474998185	22.9723748192718	22.6973472063926	23.2505515391735	22.8810855943949	22.7571747480042	22.9641826987315	22.965875959811	23.10396320122	22.2012661183673	22.2687136428799	22.5614914268073	22.7404921150709	22.0941104165793	22.3207560665027	22.890184336796	22.7110224976848	22.6248649107896	22.4441022530316	21.9327632393739	22.9107686452043	22.0363290253566	21.8924527873606	22.5161486887149	22.3698656547843	22.9249840192788	23.1938992508736	21.7229228068361	22.5083200917639	22.6302186844212	22.8092522190368	23.9311636400799	23.2241165918808	21.4878555466262	21.3020746799344	22.1760460318496	21.1965782634249	22.6568541505461	21.8933028059595	23.1721600756082	22.8701487682243	21.9924709659119	22.7561126156957	22.6356183795864	24.2171180370772	21.7782142684088	21.5032197130611	22.5404306373376	22.1467649996103	22.7949071777393	22.7651267088504	NA	22.5519376825345	22.9288126869355	22.776826192123	22.138219754829	23.1205312584167	22.6566677472921	22.3939405933077	22.3937926876697	22.8556295796026	22.7912252541756	22.211224036699	22.2870301065823	22.9689355219808	21.9855695339155	22.9661699196506	22.3935256976423	22.8498712113759	22.2423947490277	22.1069516562751	22.7197355446617	23.0451545666013	23.0006027415079	22.5102719257963	"IGKV2.28"
20.8726189615397	21.3287754976279	20.8386266036483	20.6251457426719	21.5430239574641	21.3108687287819	20.8509518622099	20.7925761985995	20.9285037757203	21.0586664373067	20.6501200913215	20.6126887411343	20.8561443737142	20.9833120497935	19.9412727634314	20.5849949693955	21.1121870328151	20.7493324569532	20.617746376732	20.8867499517649	21.2473835174933	21.0156955313571	20.8032172377724	21.2069636893018	20.9983948233298	20.769883866	20.9302834862332	20.8428401209061	20.6284589793775	20.9016223987492	20.8972164031417	20.8520819362642	20.8878435460126	20.5967742705063	20.6345861339012	20.7009880127824	20.943630629785	21.1148100991495	21.0400647712244	19.7754697752624	20.9100748790363	21.3932095163829	20.7908092852631	20.8353571067886	21.045751079438	21.1117009806034	19.9686828273743	21.1452105239738	21.0164737047573	20.5337279620075	20.7961862190554	21.0233101334784	20.4057361492035	20.9018024194703	21.0043513584088	21.2472234594184	21.727934488046	20.819964924044	21.0618601523739	21.0851472289523	NA	20.6901159817332	20.7743010233643	20.8759642892067	20.8662520073764	20.9156656993604	20.8775308601537	20.624786762147	20.9894391537155	21.3497674101593	21.0645255863892	20.6260563386258	21.7442170452543	20.4996978338657	20.9635605218899	20.9476155780003	21.3073665511175	20.8951701951343	20.4657654461184	20.453280667763	19.8412603627754	21.0461486515559	21.3282658000992	20.8783384793209	21.0408112554365	20.3354201617492	20.7424255585314	20.2708140426072	21.0613103434091	21.6072761010495	20.6999924763086	"IGKV2D.24"
21.6246159076791	21.9920266277311	21.9446928511401	21.6239604070566	22.0263088364998	22.0022031168801	21.2588077018819	20.3833184030617	21.1986897896419	21.7276719514869	21.6013915531825	21.3080992822602	NA	21.4749934166467	21.1565080776518	21.5801295680228	22.1056481342445	22.6456602500915	21.8168311981189	21.5050325350741	22.1580535548292	21.6579027725893	21.5993159874269	21.463435645718	21.3562188404889	21.7723835040669	22.3797305805555	21.4220880570642	21.5693682288063	22.0354817606204	22.1141498172036	21.6976999212267	21.3483052742551	20.0793237438726	20.8498954057025	22.3736857362959	22.0830835204368	21.3223394662766	NA	22.2805188095493	21.698561235487	21.6074676761021	21.3503920038617	NA	21.8088531093026	NA	21.9652870304521	NA	NA	NA	NA	NA	NA	21.6562043090042	21.2885609060638	NA	NA	20.7960354997618	NA	NA	20.6649538411008	20.9474725176337	21.2317758191995	21.6153568539463	NA	22.2776911110873	22.1726857596234	NA	21.347603036864	21.8169778029451	21.9492600448662	21.5296643359285	22.1763394761633	22.0391770309914	22.0051035728241	21.8495315792652	22.435573995406	21.6050119962627	21.0085777857646	20.8102572055668	21.0602984972065	21.1322003956698	22.0387986191752	21.3416360142046	22.5036021363354	NA	20.5841632650548	21.552686372418	22.0529654265173	20.9564605548968	22.3534775023425	"IGKV3D.15"
18.5584859866808	21.2289571629906	22.0757169658707	19.6573199897674	NA	18.9354569592754	18.8942897785366	18.2011324381639	18.913110894361	NA	NA	19.6394956521746	18.8773832126732	20.9135665786125	19.8167164796735	20.395047833214	19.6066315489916	18.817016263833	20.7287292179779	21.7803374129535	21.0451974520617	18.5030746018108	20.310354741845	19.3332580578148	NA	NA	20.8638108338542	18.9438346328541	20.4938108044938	NA	21.0466593485614	20.8135734771848	19.591578434161	19.3886637372663	20.0553647587208	NA	19.4298828859427	NA	NA	20.9662949123174	NA	NA	NA	19.630540895846	20.0407861157189	20.6121034660426	20.9887660680668	20.2823758801511	18.9468475999887	18.4824404658816	20.5434287244686	17.5333249975725	19.6153776309899	19.456337553288	17.596912425763	NA	18.7685255584201	18.9692225098876	19.2186458329959	17.8073408866599	19.2762988445727	18.4633975710324	18.7992994168415	19.4167921696654	19.1203358249511	21.6608485112957	23.6860926840326	21.0351190247875	21.1500839048952	21.1422044916077	20.0684197212573	20.2945207121563	21.3466347710454	20.3169266035758	19.6026025847422	22.2407004343321	20.782094678324	19.5901229804465	19.3741733008228	20.5367479926199	19.5294344654385	21.3125107844638	20.6237854397322	20.5071307582899	19.5588238564005	20.3444882640182	19.7552858602537	19.653025860194	19.5989193628945	20.0966559224489	23.1233707163674	"IGHV3.49"
22.0549747333302	22.2938976667502	22.8375142523415	21.8810529075898	22.2598866521125	21.6095161142192	21.6730851756859	21.1070170667523	21.5423630520626	21.191528451773	21.8357352076386	21.7094226939559	21.1355514782736	22.1631667226093	21.5827259467724	22.1568820570225	22.4269592560921	23.0757550740628	21.9956492139134	22.3467944922394	22.504292438071	22.5321736029107	21.3781452314928	22.0053761199347	22.2336567039053	22.1021269767741	21.7941888079505	21.6813613609966	21.7415323658443	21.3231465634588	20.9926231575043	21.916059346395	21.7787710166975	22.4333018030253	21.3387841402211	21.320531568798	21.8773116299901	21.0422636963805	21.0214173744143	22.2369076464909	21.4592564062251	21.5793043637608	22.0202889132086	21.2685645155407	22.1069383585274	22.1319124976436	22.8475512426676	22.0296213258442	22.4896999004875	21.5425058112657	21.4141663516164	21.0173793452909	20.9727871643048	21.5785060018977	21.7534845886595	21.6272049073937	21.8107630555886	21.1136681585316	21.6634441351388	21.6017683358252	22.1094981695214	21.4652778590602	21.4460738983126	22.2511986291284	21.7601907746684	21.7658827919973	22.4945860351918	20.7586480408719	21.891132226065	22.5935481740573	22.1620667001901	21.559030454386	22.549519316409	21.8306629708237	21.7419791660414	21.6533518665373	22.064845679947	22.096751163578	21.0616810964339	21.6342376706488	21.0374512833592	21.3476188233049	22.0947574986352	21.7916703684235	22.3711186415944	21.2379858042582	21.5044166028655	21.88269590811	22.2759334308108	22.2102182143635	22.2554908612892	"IGHV3.74"
22.8796630642091	22.8959136060965	22.603553058537	22.5130338937506	22.3940979935451	22.6840652998953	23.1916472588847	23.2905504225712	22.6671088522585	22.3922679483103	22.8699578169508	22.6752464564892	23.0735757326807	22.4621326755564	22.9134887458269	22.5526651966476	23.2654719117057	22.5909295691884	22.2711764845838	22.538767760624	21.9119315881036	22.4898007701659	22.2498479308065	22.4869684044528	23.1286194392484	23.2535684043188	22.6665770823865	22.4994286999038	22.1676219404323	23.123721340128	22.0759293826974	23.4340348042043	22.7529789206145	22.3352900490282	22.3324317743236	21.8949575230599	22.5466433109857	22.7229406099593	22.7739361417934	21.6700193605755	22.3228659362619	22.4289911986089	22.7271809301068	22.2989769653204	22.6687059667888	22.7082554551066	21.7733824286713	22.5874470755725	22.6214660278345	22.9486806934258	22.7128312754532	22.9913156641123	22.9153130998677	22.9602893188296	22.5450052104669	22.5754703727826	22.1948397980072	22.7355064201305	22.7103281232163	23.0448278760324	22.1311015343202	23.1642177940872	22.9081973842524	22.6788199352787	22.9398534836991	22.4219033064189	22.3293288710406	22.9426186112721	22.7050494517762	21.7759006067549	22.6274173538848	22.8099406923558	22.6923704189245	22.7435034109136	23.0267737783576	22.3794974760164	22.2903926545306	22.4360041494963	22.9041154477551	23.2744055003097	22.2046227201775	23.3351093410117	22.5781444007586	22.5967300849777	22.2234099416702	22.8335022193264	22.6432045531391	22.3655904548496	22.4685568575135	22.3602486773937	21.7263686672847	"LOC102724023"
18.7822681197065	19.171907012068	19.2282273765839	18.6649462201819	21.6586848202087	21.2509091194228	20.3599805848004	20.6893149390843	20.2971722299603	20.6652220814963	19.7381538584261	19.6615375737955	19.8900206735989	19.968793853294	19.4912759146992	20.2121858156893	20.273663306434	20.7942980236225	20.1229307564973	20.4966470156616	20.0398039406011	20.6928229239569	20.169055633915	20.4804519167117	20.069250687164	20.0609622760262	20.7170324585382	20.4831747502669	19.985483363554	19.9443569582535	19.801949576576	19.7608552138477	20.1863127314434	19.5353963940104	20.1116781483092	NA	20.0777904059762	NA	20.1596725926083	20.1322136241528	20.0076752895629	NA	20.0987836004999	20.6283694727879	20.2379621914192	20.1718765681118	19.4177975527851	20.3895529185917	NA	19.4776943052523	19.6877840376107	NA	NA	19.8991972790899	NA	NA	20.1486442336663	19.5511082859513	NA	19.3579685437406	20.6090902236628	19.0755192837225	NA	20.7401045455867	19.7179696280634	20.486621506926	20.6345019260876	20.261662515261	20.4113125321902	20.1463839668768	19.8647549598966	NA	20.7658414589031	19.6966185383626	19.3831031187622	20.5848310059164	19.9747265874538	19.9221665520513	NA	NA	NA	19.8920651661771	20.746779487231	19.6040556837008	19.8676756409522	20.5970286801	20.4090319801817	20.5777879536472	20.601007433424	20.1553698512165	20.0305879182548	"IGHV5.51"
20.5098416780517	20.1639075003254	21.1286597919407	20.6985200541765	21.2643523177796	20.7708911802051	20.609459220179	19.4798019743406	21.0768712880522	20.2503234325821	20.7668279411515	20.0035615095189	18.4683245220675	21.3917678828386	19.5900122965804	21.025216363951	21.7991445112663	21.4117889981044	21.1885985900831	21.4356293097387	21.6105071269038	21.0707591802469	20.1894902337782	20.9176889417879	21.1714860873481	20.7865820190333	20.3916703576832	20.8291535239359	20.9890234058222	20.8790942099653	20.6499324334766	20.3186179999774	20.2518758773222	20.5113995066885	20.3086834882555	21.0400030455965	21.1748766614571	19.6205105989685	20.0285304757857	21.5272467128915	20.1407579738776	20.6448799605703	21.3310179010588	19.860427117873	20.0152270917937	20.5483385452972	20.3027702486741	21.0310184765585	21.1112119158163	21.2011862823657	21.8445220916423	19.443799449648	19.364951845967	20.0207856946981	19.3837179168158	20.5102614108304	20.5056886810406	19.936689755415	20.6631027477038	20.4847764392757	21.2903324572508	20.0290049970007	19.0488138838759	20.4857344221486	20.7075898317045	21.2572503955804	21.2036656363392	20.0207607542093	20.2921055308863	21.0039151036948	20.8932264233345	20.4154503432093	21.2807835464128	20.5871396430266	20.5759210063023	21.0311546721409	21.2659356024593	21.0332269724824	20.0529222709191	19.7050978579643	20.3741428573803	20.5400711100904	21.3746991345417	21.2751334916231	20.9341296794489	20.4255549921317	20.4809290691673	20.6113902770981	21.6280748244344	20.8141132154777	21.206716370715	"IGKV1.8"
22.1203217379317	19.7573501422437	19.9871396741578	21.6342984913525	21.9502725027772	21.5535281018876	22.1468867949067	21.9603752867919	21.9259738536628	21.8426313929045	22.3124970008856	21.2815388229379	20.8365571281267	22.2413515709337	22.3453161702972	21.8325818278803	22.3820311724368	NA	21.7882266357136	21.3431317849969	21.9046220999913	21.9088561616971	22.4719041830345	22.2120332107601	22.5546364315077	NA	21.4388819782736	21.0065265381522	21.2601059525187	NA	21.2181026543591	NA	22.0117846579886	NA	20.9982453472761	NA	NA	19.723269578057	21.2946437303644	NA	22.8003054971953	22.0843154305915	NA	NA	22.3870687095327	19.0105575525077	23.0395151590498	22.1496630611265	23.2664550483501	21.6154475480631	22.843935861267	20.6055837411298	20.7463277966169	20.8009346412386	20.9295754074213	21.6645473376753	21.9201576171569	22.2929907618736	22.7419785913469	22.1123410303895	21.64132524974	20.7576277383058	20.6962810295909	21.4285060244876	21.3529461008768	21.9673816655597	21.2671095353346	21.263830200141	20.5635269426653	20.9259367803477	21.4893026747095	21.4076645967918	21.6527491029124	21.5635588470743	21.5267153680251	21.3550268156151	21.9010951726506	21.3650195484893	22.1037223889274	22.434906694588	21.8568443319957	21.2020157127106	21.5048244036454	21.2507725478723	21.4018091830184	21.4862966736766	21.5714367433974	21.2169731535122	21.6671745919099	21.7600074534965	NA	"RBM47"
